Indicator,Disaggregations,Number of disaggregations
#3-4-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND, SEX",7
#3-5-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL, SEX, AGE",7
#3-5-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND, AGE",7
#3-6-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND",6
#3-7-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE",6
#3-7-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE",6
#3-8-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#3-9-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#3-9-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#3-9-3,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND, SEX",7
#3-a-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND, SEX, AGE",8
#3-b-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#3-b-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER",5
#3-c-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, OCCUPATION",6
#3-d-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL",5
#4-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL, SEX, EDUCATION_LEV",7
#4-1-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, URBANISATION, INCOME_WEALTH_QUANTILE, EDUCATION_LEV",8
#4-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE",6
#4-2-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX",5
#4-4-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL, SEX, AGE, URBANISATION",8
#4-5-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL, SEX, URBANISATION, INCOME_WEALTH_QUANTILE, EDUCATION_LEV",9
#4-7-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#4-a-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, EDUCATION_LEV",5
#4-b-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER",5
#4-c-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, EDUCATION_LEV",6
#5-3-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE",6
#5-4-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE, URBANISATION",7
#5-5-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX",5
#5-5-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE",6
#5-b-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX",5
#6-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, URBANISATION",5
#6-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, URBANISATION",5
#6-3-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, ACTIVITY",5
#6-4-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, ACTIVITY",5
#6-4-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, ACTIVITY",5
#6-5-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
