Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,None,PT,2025-03-26T00:00:00,2023,0.77213
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,8.18142
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,8.24643
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,8.19324
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,8.1791
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,7.64011
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,7.61867
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,7.61612
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,7.62388
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,7.62905
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,8.13083
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,8.16539
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,9.00104
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,8.99464
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,8.99664
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,9.0175
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,9.00255
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,1.69506
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,1.68626
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.37684
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.37683
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.37613
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.37614
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.37613
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.37613
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.37614
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.27206
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.37621
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.834
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.834
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.83363
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.83363
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,2.83363
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.40153
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.44501
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.53807
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.53807
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.53635
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.52745
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.52822
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.46603
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.46486
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.37417
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.46395
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.41052
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.32894
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.40992
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.40553
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,11.40553
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,1.28507
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,1.053
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.88567
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.85797
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.78597
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.83011
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.78959
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.71734
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.72557
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.79911
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.80581
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.78326
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.78886
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.79637
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.79124
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_IND,PT,2025-03-26T00:00:00,2023,0.78664
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.29983
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.16938
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,0.0
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,9.06908
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,8.04256
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.95386
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.94911
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.87127
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.89215
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.87012
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.86929
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.85319
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.75304
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.85435
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.52196
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.50764
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.50783
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.5086
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.50847
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,1.18782
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.38884
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.30375
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.29017
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.26398
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.28026
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.2652
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.21774
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.2746
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.32585
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.3225
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.32527
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.32527
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.32526
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.32559
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,None,PT,2025-03-26T00:00:00,2023,0.32555
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,7.29628
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,6.17165
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,5.87043
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,5.85878
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,5.74326
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,5.72167
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,6.35285
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,6.36271
