Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2013,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",152.0
2014,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",152.0
2015,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",152.0
2016,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",212.0
2017,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",212.0
2018,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",212.0
2019,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",212.0
2020,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",212.0
2021,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",212.0
2022,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",195.0
2023,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",195.0
2024,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",195.0
2025,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",202.0
2021,SG_GEN_PARLNT,231,None,NUMBER,2025-04-21T00:00:00,A,0,2025,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",547.0
2022,SG_GEN_PARLNT,231,None,NUMBER,2025-04-21T00:00:00,A,0,2025,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",470.0
2023,SG_GEN_PARLNT,231,None,NUMBER,2025-04-21T00:00:00,A,0,2025,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",472.0
2024,SG_GEN_PARLNT,231,None,NUMBER,2025-04-21T00:00:00,A,0,2025,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",472.0
2025,SG_GEN_PARLNT,231,None,NUMBER,2025-04-21T00:00:00,A,0,2025,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",482.0
