Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,146.56
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,163.17
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,167.95
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,170.23
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,211.18
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,302.26
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,473.48
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,306.88
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,324.62
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,338.43
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,311.96
2020,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,250.49
2021,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,324.36
2022,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_BTFXE,USD_PER_M3,2025-03-21T00:00:00,2018-2022,351.16
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,19.22
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,20.41
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,20.4
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,19.61
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,18.91
