Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,-0.01541
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3B,T,2025-03-21T00:00:00,2023,,-0.01719
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.14713
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.2432
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.27122
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.42469
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.47005
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.46577
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.47311
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.39814
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.33803
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.62109
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.59963
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.76381
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.78924
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.85836
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.82375
