Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2018,22.3
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2018,24.7
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2018,7.5
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_ICTPST,PT,2025-03-14T00:00:00,2018,8.7
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_ICTSFWR,PT,2025-03-14T00:00:00,2018,21.2
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2018,12.3
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_INTBNK,PT,2025-03-14T00:00:00,2018,4.3
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_ONLCNS,PT,2025-03-14T00:00:00,2018,7.4
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_ONLSFT,PT,2025-03-14T00:00:00,2018,5.8
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_SNTWK,PT,2025-03-14T00:00:00,2018,57.5
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y15T24,None,SKILL_VOIP,PT,2025-03-14T00:00:00,2018,44.2
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2018,26.3
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2018,12.9
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_GSINF,PT,2025-03-14T00:00:00,2018,22.9
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_GSPUR,PT,2025-03-14T00:00:00,2018,11.2
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2018,20.8
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2018,15.7
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2018,15.1
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2018,16.5
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2018,7.0
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_ICTPST,PT,2025-03-14T00:00:00,2018,7.1
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_ICTSFWR,PT,2025-03-14T00:00:00,2018,14.6
2018,A,0,,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2018,9.0
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_INTBNK,PT,2025-03-14T00:00:00,2018,7.1
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_ONLCNS,PT,2025-03-14T00:00:00,2018,4.4
