Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,9.6
2022,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,9.5
2023,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,9.5
2024,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,9.5
2000,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,681.5
2001,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,641.6
2002,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,605.7
2003,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,578.9
2004,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,562.8
2005,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,550.8
2006,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,541.6
2007,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,534.7
2008,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,529.4
2009,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,525.2
2010,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,519.6
2011,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,513.6
2012,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,511.1
2013,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,510.5
