Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2022,SG_INT_VRTDEV,231,IO_AFDB,PT,2024-05-07T00:00:00,A,0,2022,African Development Bank Group Annual Report 2022,1.6025
2019,SG_INT_VRTDEV,231,IO_ECOSOC,PT,2024-05-07T00:00:00,A,0,2021,Report of the Economic and Social Council on its 2021 Session (A/76/3/),1.85185
2020,SG_INT_VRTDEV,231,IO_ECOSOC,PT,2024-05-07T00:00:00,A,0,2021,Report of the Economic and Social Council on its 2021 Session (A/76/3/),1.85185
2021,SG_INT_VRTDEV,231,IO_ECOSOC,PT,2024-05-07T00:00:00,A,0,2021,Report of the Economic and Social Council on its 2021 Session (A/76/3/),1.85185
2005,SG_INT_VRTDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.0759
2010,SG_INT_VRTDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.0757
2015,SG_INT_VRTDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.0736
2016,SG_INT_VRTDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.07
2017,SG_INT_VRTDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.0785
2018,SG_INT_VRTDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.0903
2019,SG_INT_VRTDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.0892
2020,SG_INT_VRTDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.08751
2021,SG_INT_VRTDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.0854
2022,SG_INT_VRTDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.08391
2023,SG_INT_VRTDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.08206
2005,SG_INT_VRTDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.0157
2010,SG_INT_VRTDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.0156
2015,SG_INT_VRTDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.03485
2016,SG_INT_VRTDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.03485
2017,SG_INT_VRTDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.03485
2018,SG_INT_VRTDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.0349
2019,SG_INT_VRTDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.0344
2020,SG_INT_VRTDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.03467
2021,SG_INT_VRTDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.03437
2022,SG_INT_VRTDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.03868
2023,SG_INT_VRTDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.03834
2005,SG_INT_VRTDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.073
2010,SG_INT_VRTDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.0717
