Year,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2020,TM_TAX_DMFN,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",13.90028
2021,TM_TAX_DMFN,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",13.91669
2022,TM_TAX_DMFN,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",13.91019
2023,TM_TAX_DMFN,231,AGG_CLTH,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",13.91019
2000,TM_TAX_DMFN,231,AGG_IND,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.53753
2005,TM_TAX_DMFN,231,AGG_IND,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.43574
2010,TM_TAX_DMFN,231,AGG_IND,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.3787
2011,TM_TAX_DMFN,231,AGG_IND,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.37887
2012,TM_TAX_DMFN,231,AGG_IND,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.29945
2013,TM_TAX_DMFN,231,AGG_IND,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.29963
2014,TM_TAX_DMFN,231,AGG_IND,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.30634
2015,TM_TAX_DMFN,231,AGG_IND,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.30849
2016,TM_TAX_DMFN,231,AGG_IND,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.29353
2017,TM_TAX_DMFN,231,AGG_IND,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.22049
