Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2016,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2017,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2018,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2019,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2020,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2021,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2022,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2023,A,0,UN General Assembly website http://www.un.org/en/member-states/index.html,SG_INT_MBRDEV,12,IO_UNGA,PT,2024-05-07T00:00:00,2023,0.51813
2005,A,0,Report of the Security Council (A/60/2),SG_INT_MBRDEV,12,IO_UNSC,PT,2024-05-07T00:00:00,2005,6.66667
2000,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,3.75
2005,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,3.79
2010,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,3.901
2014,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,4.209
2015,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,4.19
2016,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,4.211
2017,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,4.211
2018,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,4.2495
2019,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,4.2652
2020,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,3.27964
2021,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,5.02947
2022,A,0,African Development Bank Group Annual Report 2022,SG_INT_VRTDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,5.05361
