Year,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,BASE_PER,Value
2004,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.24565
2005,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.28439
2006,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.27542
2007,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.27318
2008,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.26588
2009,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.30454
2010,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.32811
2011,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.33234
2012,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.3455
2013,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.37594
2014,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.39176
2015,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.39921
2016,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.41256
2017,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.40643
2018,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.39935
2019,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.39547
2020,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.41981
2021,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.41634
2022,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.41062
2023,EN_MAT_DOMCMPC,231,MF11,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.41308
2000,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.3662
2001,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.42101
2002,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.38322
2003,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.39479
2004,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.40408
2005,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.4835
2006,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.4783
