Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2024,A,0,20.2,8.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,None,Y0T4,PT,2025-03-28T00:00:00,2024,13.3
2000,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,12.4
2001,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,12.9
2002,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,13.5
2003,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,14.0
2004,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,14.3
2005,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,14.6
2006,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,14.6
2007,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,14.6
2008,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,14.4
