Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2016,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.25
2017,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.27
2018,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.25
2019,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.22
2020,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.21
2021,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.23
2022,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.27
2023,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_PRD_ORTIND,12,IX,2025-03-21T00:00:00,2023,0.33
2001,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,4.24
2002,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,3.21
2003,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,3.88
2004,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,3.82
2005,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,3.46
2006,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,4.24
2007,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,2.19
2008,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,5.2
2009,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,3.65
2010,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,2.0
2011,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,3.36
2012,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,3.02
2013,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,3.4
2014,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,3.04
2015,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,3.47
2016,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,3.02
2017,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,3.16
2018,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,2.93
2019,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,2.75
2020,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,2.89
2021,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,2.78
2022,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,3.46
2023,E,0,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,AG_XPD_AGSGB,12,PT,2025-03-21T00:00:00,2023,5.14
