Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Montane,58216.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Montane,57629.4
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Montane,57321.8
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_MGCI,KM2,2025-03-21T00:00:00,2021,Montane,57116.8
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_PSG,KM2,2025-03-21T00:00:00,2021,Montane,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_PSG,KM2,2025-03-21T00:00:00,2021,Montane,0.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_PSG,KM2,2025-03-21T00:00:00,2021,Montane,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_PSG,KM2,2025-03-21T00:00:00,2021,Montane,0.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_PSG,KM2,2025-03-21T00:00:00,2021,Montane,0.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_PSG,KM2,2025-03-21T00:00:00,2021,Montane,0.0
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SAF,KM2,2025-03-21T00:00:00,2021,Montane,83.9
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SAF,KM2,2025-03-21T00:00:00,2021,Montane,59.6
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SAF,KM2,2025-03-21T00:00:00,2021,Montane,101.8
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SAF,KM2,2025-03-21T00:00:00,2021,Montane,64.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SAF,KM2,2025-03-21T00:00:00,2021,Montane,83.4
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SAF,KM2,2025-03-21T00:00:00,2021,Montane,96.3
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SHR,KM2,2025-03-21T00:00:00,2021,Montane,157.9
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SHR,KM2,2025-03-21T00:00:00,2021,Montane,259.9
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SHR,KM2,2025-03-21T00:00:00,2021,Montane,269.3
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SHR,KM2,2025-03-21T00:00:00,2021,Montane,241.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SHR,KM2,2025-03-21T00:00:00,2021,Montane,198.6
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SHR,KM2,2025-03-21T00:00:00,2021,Montane,170.3
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SNV,KM2,2025-03-21T00:00:00,2021,Montane,1922.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SNV,KM2,2025-03-21T00:00:00,2021,Montane,1883.4
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SNV,KM2,2025-03-21T00:00:00,2021,Montane,1926.8
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SNV,KM2,2025-03-21T00:00:00,2021,Montane,2090.5
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SNV,KM2,2025-03-21T00:00:00,2021,Montane,2173.6
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_SNV,KM2,2025-03-21T00:00:00,2021,Montane,2228.9
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_TBL,KM2,2025-03-21T00:00:00,2021,Montane,2176.5
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_TBL,KM2,2025-03-21T00:00:00,2021,Montane,2168.1
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_TBL,KM2,2025-03-21T00:00:00,2021,Montane,2173.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_TBL,KM2,2025-03-21T00:00:00,2021,Montane,2213.7
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_TBL,KM2,2025-03-21T00:00:00,2021,Montane,2249.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_TBL,KM2,2025-03-21T00:00:00,2021,Montane,2273.7
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_TRE,KM2,2025-03-21T00:00:00,2021,Montane,5426.7
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_TRE,KM2,2025-03-21T00:00:00,2021,Montane,5404.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_TRE,KM2,2025-03-21T00:00:00,2021,Montane,5412.7
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_TRE,KM2,2025-03-21T00:00:00,2021,Montane,5471.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_TRE,KM2,2025-03-21T00:00:00,2021,Montane,5503.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C03,LC_TRE,KM2,2025-03-21T00:00:00,2021,Montane,5524.3
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,1767.1
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,2003.7
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,2227.8
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,2657.3
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,2932.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C04,LC_ART,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,3115.3
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,13331.6
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,C04,LC_CRP,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,13676.3
