Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2003,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.040164
2004,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.043671
2005,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.037543
2006,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.037542
2007,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.035675
2008,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.04341
2009,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.047267
2010,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.054157
2011,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.062365
2012,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.05919
2013,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.063207
2014,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.056322
2015,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.061254
2016,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.060507
2017,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.064691
2018,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.079941
2019,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.076165
2020,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.084768
2021,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.087872
2022,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.095812
2023,TX_EXP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.093459
2000,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.018946
2001,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.028252
2002,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.023919
2003,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.034529
2004,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.030324
2005,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.037924
2006,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.042063
2007,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.040734
2008,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.050107
2009,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.060127
2010,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.055733
2011,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.04823
2012,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.063819
2013,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.064424
2014,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.080522
2015,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.099857
2016,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.1014
2017,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.087723
2018,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.077267
2019,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.075329
2020,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.073381
2021,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.070739
2022,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.07274
2023,TX_IMP_GBMRCH,231,PT,2025-03-19T00:00:00,E,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.073753
2000,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.032224
2001,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.034104
2002,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.03576
2003,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.038045
2004,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.042997
2005,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.04536
2006,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.039442
2007,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.049887
2008,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.060208
2009,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.062241
2010,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.065443
2011,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.078742
2012,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.079488
2013,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.072675
2014,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.085447
2015,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.09889
2016,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.106042
2017,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.094204
2018,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.105645
2019,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.101368
2020,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.107975
2021,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.112414
2022,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.110994
2023,TX_IMP_GBSVR,231,PT,2025-03-19T00:00:00,A,0,2023,UNCTADstat. Data compiled by UNCTAD and WTO.,0.103981
