Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2007,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",46.4
2008,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",45.0
2009,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",43.5
2010,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",42.1
2011,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",40.7
2012,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",39.6
2013,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",38.7
2014,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",37.9
2015,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",37.2
2016,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",36.4
2017,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",35.6
2018,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",34.8
2019,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",34.1
2020,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",33.5
2021,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",33.2
2022,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",33.2
2023,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",33.1
2024,SH_STA_STNT,231,F,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,37.5,28.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",33.1
2000,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",59.4
2001,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",58.4
2002,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",57.4
2003,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",56.4
2004,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",55.3
2005,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",54.2
2006,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",53.0
2007,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",51.6
2008,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",50.1
2009,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",48.6
