Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2010,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",30.0
2011,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",30.0
2012,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",31.0
2013,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",146.0
2014,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",146.0
2015,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",146.0
2016,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",146.0
2017,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",146.0
2018,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",119.0
2019,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",119.0
2020,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",119.0
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",120.0
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",33.0
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",32.0
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",32.0
2025,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",32.0
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,12,None,NUMBER,2025-04-21T00:00:00,2025,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year",462.0
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,12,None,NUMBER,2025-04-21T00:00:00,2025,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year",407.0
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,12,None,NUMBER,2025-04-21T00:00:00,2025,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year",407.0
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,12,None,NUMBER,2025-04-21T00:00:00,2025,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year",407.0
2025,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLNT,12,None,NUMBER,2025-04-21T00:00:00,2025,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year",407.0
