Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,24.14
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,25.66
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,27.19
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,28.43
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,29.67
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,30.91
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,32.13
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,33.36
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,34.57
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,35.78
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,36.99
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,38.19
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,39.34
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,40.05
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,40.73
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,41.4
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,44.12
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,47.46
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,47.78
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,48.09
2020,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,48.4
2021,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,43.46
2022,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_GTT,PT,2025-03-21T00:00:00,2018-2022,44.77
