Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2024,SN_STA_OVWGT,231,F,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.2,1.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3.1
2000,SN_STA_OVWGT,231,M,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.9,2.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3.0
2001,SN_STA_OVWGT,231,M,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.9,2.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3.1
2002,SN_STA_OVWGT,231,M,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.9,2.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3.2
2003,SN_STA_OVWGT,231,M,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.9,2.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3.3
2004,SN_STA_OVWGT,231,M,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.9,2.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3.3
2005,SN_STA_OVWGT,231,M,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.9,2.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3.4
2006,SN_STA_OVWGT,231,M,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.9,2.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3.3
2007,SN_STA_OVWGT,231,M,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.9,2.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3.3
2008,SN_STA_OVWGT,231,M,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.9,2.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3.2
