Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2021,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_E,PT,2024-06-12T00:00:00,2022,,1.0644
2022,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_E,PT,2024-06-12T00:00:00,2022,,0.22883
2018,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_H,PT,2024-06-12T00:00:00,2022,,8.6226
2019,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_H,PT,2024-06-12T00:00:00,2022,,6.67006
2020,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_H,PT,2024-06-12T00:00:00,2022,,3.28168
2021,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_H,PT,2024-06-12T00:00:00,2022,,6.2774
2022,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_H,PT,2024-06-12T00:00:00,2022,,3.5718
2018,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_M,PT,2024-06-12T00:00:00,2022,,8.43054
2019,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_M,PT,2024-06-12T00:00:00,2022,,5.43624
2020,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_M,PT,2024-06-12T00:00:00,2022,,4.39457
2021,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_M,PT,2024-06-12T00:00:00,2022,,6.89858
2022,D,0,World Environment Situation Room,EN_MAR_CHLANM,12,None,FCC_M,PT,2024-06-12T00:00:00,2022,,5.94466
2005,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,2.98008
2006,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,2.65401
2007,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,5.02089
2008,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,0.77627
2009,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,8.19916
2010,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,2.61815
2011,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,0.66279
2012,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,1.23578
2013,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,11.3781
2014,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,12.40617
2015,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,3.00036
2016,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,0.37624
2017,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,0.50634
2018,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,5.65452
2019,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,2.27686
2020,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,2.23207
2021,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,2.68344
2022,A,0,World Environment Situation Room,EN_MAR_CHLDEV,12,None,None,PT,2024-06-12T00:00:00,2022,,0.15796
