Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2002,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.8
2003,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.8
2004,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.9
2005,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.9
2006,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.9
2007,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.9
2008,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.9
2009,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.9
2010,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.9
2011,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,100.0
2012,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,100.0
2013,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,100.0
2014,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,100.0
2015,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.9
2016,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.9
2017,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,100.0
2018,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,100.0
2019,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,100.0
2020,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.9
2021,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.9
2022,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.9
2023,A,0,100,94.7,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,U,PT,2025-06-18T00:00:00,2023,99.9
