Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOP,12,M,Y_GE18,NUMBER,2025-03-13T00:00:00,2016,7.0
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOP,12,M,Y0T17,NUMBER,2025-03-13T00:00:00,2016,8.0
2016,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOPR,12,None,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.08
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOPR,12,F,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2016,0.08
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOPR,12,F,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2016,0.1
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOPR,12,M,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2016,0.05
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVOPR,12,M,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2016,0.11
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,None,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.08
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,None,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.07
2018,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,None,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.04
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,None,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.03
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,None,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.04
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,None,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2022,0.06
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,None,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2022,0.05
2018,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,None,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2022,0.05
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,None,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2022,0.03
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,None,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2022,0.06
2016,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,None,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2022,0.11
2017,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,None,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2022,0.09
2019,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,None,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2022,0.03
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,F,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.09
