Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2014,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",42.1
2015,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",40.4
2016,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",38.7
2017,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",37.2
2018,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",35.8
2019,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",34.5
2020,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",33.4
2021,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",32.2
2022,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",31.2
2023,SH_DYN_IMRT,231,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",30.2
2000,SH_DYN_IMRT,231,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",103.5
2001,SH_DYN_IMRT,231,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",99.9
2002,SH_DYN_IMRT,231,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",96.1
2003,SH_DYN_IMRT,231,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",92.3
2004,SH_DYN_IMRT,231,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",88.4
2005,SH_DYN_IMRT,231,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",84.6
