Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2007,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,271.0
2008,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,328.0
2009,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,277.0
2010,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,254.0
2011,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,280.0
2012,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,523.0
2013,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,480.0
2014,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,577.0
2015,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,546.0
2016,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,542.0
2017,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,524.0
2018,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,568.0
2019,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,519.0
2020,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,654.0
2021,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,695.0
2022,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,795.0
2023,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,None,NUMBER,2025-03-21T00:00:00,2023,536.0
2012,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,F,NUMBER,2025-03-21T00:00:00,2023,52.0
2013,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,F,NUMBER,2025-03-21T00:00:00,2023,39.0
2014,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,F,NUMBER,2025-03-21T00:00:00,2023,85.0
2015,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,F,NUMBER,2025-03-21T00:00:00,2023,71.0
