Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.155326
2001,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.158665
2002,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.152798
2003,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.156762
2004,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.173092
2005,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.183253
2006,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.162985
2007,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.193842
2008,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.279143
2009,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.325632
2010,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.304045
2011,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.289305
2012,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.241246
2013,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.226702
2014,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.227452
2015,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.223319
2016,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.218969
2017,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.209274
2018,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.201044
2019,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.163262
2020,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.148552
2021,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.118885
2022,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.118217
2023,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_IMP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.118019
