Year,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,CUST_BREAKDOWN_LB,Value
2021,ER_MTN_GRNCOV,231,None,LC_MGCI,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,524322.4
2000,ER_MTN_GRNCOV,231,None,LC_PSG,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.0
2005,ER_MTN_GRNCOV,231,None,LC_PSG,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.0
2010,ER_MTN_GRNCOV,231,None,LC_PSG,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.0
2015,ER_MTN_GRNCOV,231,None,LC_PSG,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.0
2018,ER_MTN_GRNCOV,231,None,LC_PSG,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.0
2021,ER_MTN_GRNCOV,231,None,LC_PSG,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.0
2000,ER_MTN_GRNCOV,231,None,LC_SAF,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1575.3
2005,ER_MTN_GRNCOV,231,None,LC_SAF,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1562.9
2010,ER_MTN_GRNCOV,231,None,LC_SAF,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1324.3
