Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.71047
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.67213
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.63379
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.59545
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.55711
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.51877
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.48043
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.44208
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.40374
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.3654
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.32706
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.28872
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.25038
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.21203
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.17369
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.13535
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.09701
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.05867
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.02033
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.0
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.0
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,12,U,PT,2023-09-12T00:00:00,2022,0.0
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,82.9138
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,83.02934
