Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2022,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.08
2023,AG_PRD_ORTIND,231,IX,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,0.09
2001,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,3.97
2002,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,6.44
2003,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,4.98
2004,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,4.97
2005,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,15.93
2006,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,20.31
2007,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,18.03
2008,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,9.92
