Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.033
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.033
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.034
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.036
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.038
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.04
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.042
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0024
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0029
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0035
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.004
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0044
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0048
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0051
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0052
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0053
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0053
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0052
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0052
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0052
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0053
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0054
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0056
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,12,F,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.0058
