Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2010,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84791
2011,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84771
2012,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84765
2013,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84756
2014,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84739
2015,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84726
2016,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84711
2017,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84695
2018,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84708
2019,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84677
2020,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84662
2021,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84654
2022,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84631
2023,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84645
2024,ER_RSK_LST,231,IX,2025-04-17T00:00:00,A,0,2024,0.86078,0.82847,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",0.84632
